iter	RMSE
0	0.5191644084
1	0.506611305
2	0.4940205961
3	0.4820361287
4	0.4698908191
5	0.4586716503
6	0.4475410115
7	0.437236692
8	0.426920058
9	0.4171186062
10	0.4077951899
11	0.3975780833
12	0.3888064645
13	0.3795960876
14	0.3707635382
15	0.362576628
16	0.3543275716
17	0.3465243944
18	0.3388505739
19	0.3308777627
20	0.3234117452
21	0.3159536932
22	0.3086976065
23	0.3016316831
24	0.2952062421
25	0.2888679496
26	0.2829631395
27	0.2769867322
28	0.2713446029
29	0.2654638697
30	0.260059181
31	0.2551612709
32	0.2498694335
33	0.2448224681
34	0.2400206155
35	0.2351254148
36	0.2304132744
37	0.2260451167
38	0.2218192499
39	0.2176744796
40	0.2137739331
41	0.2098630488
42	0.2062894957
43	0.2031230856
44	0.1992626943
45	0.195952625
46	0.1926734895
47	0.1893971876
48	0.1862737631
49	0.182944652
50	0.1796620899
51	0.1767652273
52	0.1741268835
53	0.1716585796
54	0.1689915224
55	0.1662286642
56	0.1637133363
57	0.1613343443
58	0.1590425278
59	0.1564955288
60	0.1540807459
61	0.1520803566
62	0.1500503802
63	0.1482040894
64	0.1463230947
65	0.1440433389
66	0.1423663434
67	0.1406550817
68	0.1389865432
69	0.1373270098
70	0.1356532197
71	0.1339763632
72	0.1323818238
73	0.1306841369
74	0.1294261674
75	0.1279334626
76	0.1266909042
77	0.1255516084
78	0.1241999726
79	0.1229124604
80	0.1214331109
81	0.1204229659
82	0.1193828546
83	0.1180492587
84	0.1170376158
85	0.1162041008
86	0.1151280498
87	0.1144691824
88	0.1135801509
89	0.1125112129
90	0.111358958
91	0.1104165362
92	0.1095059515
93	0.1088334149
94	0.1078814608
95	0.1069783926
96	0.106126129
97	0.1053170308
98	0.1046198844
99	0.1039651191
100	0.1032967917
101	0.1024313055
102	0.1018310219
103	0.101340431
104	0.100818474
105	0.09993967445
106	0.09941342368
107	0.09867178533
108	0.09813556546
109	0.09763465993
110	0.09703535387
111	0.09651239154
112	0.09598721293
113	0.09551163416
114	0.09497771869
115	0.0946059847
116	0.09414343452
117	0.09364657127
118	0.09322625255
119	0.09287565115
120	0.09246655096
121	0.09195583135
122	0.09154636846
123	0.09123609182
124	0.09097149812
125	0.09055842068
126	0.09003649979
127	0.08968508239
128	0.08929377384
129	0.08898471955
130	0.08862615197
131	0.08837639175
132	0.08813291655
133	0.08792269263
134	0.08760372697
135	0.0872849279
136	0.08705127006
137	0.08682788023
138	0.08654715723
139	0.08613115613
140	0.08593787995
141	0.08553597781
142	0.08528075203
143	0.08491942578
144	0.08467980792
145	0.08443598872
146	0.0841517004
147	0.0838756326
148	0.08366939026
149	0.08343232571
150	0.08329268953
151	0.08298761368
152	0.08280804908
153	0.08257949493
154	0.08233244323
155	0.08209739199
156	0.08183193146
157	0.0815741858
158	0.08127559203
159	0.08115261564
160	0.08080108565
161	0.080639291
162	0.08044557559
163	0.0802226667
164	0.08009898337
165	0.07985922908
166	0.0796883234
167	0.07954748733
168	0.07940808837
169	0.07928989813
170	0.07914481727
171	0.07902341787
172	0.07892586271
173	0.07874374577
174	0.07865493151
175	0.07851677431
176	0.07837600562
177	0.07824787292
178	0.07811049075
179	0.07787538212
180	0.07777487813
181	0.07762979291
182	0.07749035289
183	0.07730534041
184	0.07711852035
185	0.07699234987
186	0.07676516587
187	0.07662837336
188	0.07652694123
189	0.07636978508
190	0.07620058542
191	0.07606215055
192	0.07587916147
193	0.07574027077
194	0.07561274643
195	0.07552033459
196	0.07538017288
197	0.07526247858
198	0.07515537901
199	0.0749878862
200	0.0748943195
201	0.074744252
202	0.07462981494
203	0.07449316152
204	0.07435301511
205	0.07430250683
206	0.07420937226
207	0.07407070153
208	0.07397044243
209	0.07385539479
210	0.07372178335
211	0.0736428351
212	0.07357266907
213	0.07344008169
214	0.07329253352
215	0.07315315081
216	0.0729974061
217	0.07286996991
218	0.07267191852
219	0.07258325974
220	0.0725088272
221	0.07234001651
222	0.07221834119
223	0.07206976037
224	0.07191886807
225	0.07183891131
226	0.07172446823
227	0.0715975263
228	0.0714729771
229	0.0713443834
230	0.07125136468
231	0.07115555466
232	0.071068734
233	0.07094429798
234	0.07079367194
235	0.0707016311
236	0.0706047536
237	0.07046392347
238	0.07039691085
239	0.07030789999
240	0.07024614916
241	0.07017583167
242	0.07005714922
243	0.06994201544
244	0.0698105619
245	0.06972673591
246	0.06958602224
247	0.06946375796
248	0.06935072244
249	0.0692890808
250	0.06913030778
251	0.06907333475
252	0.0689963983
253	0.06886190269
254	0.06870161189
255	0.06857989186
256	0.06848461929
257	0.06844189487
258	0.06836084902
259	0.06825570625
260	0.06818107838
261	0.06810212468
262	0.0680140363
263	0.0679061783
264	0.06786683487
265	0.06777188569
266	0.06770521194
267	0.06762444748
268	0.06755396628
269	0.06744406449
270	0.06733466491
271	0.06728621073
272	0.06721779176
273	0.06711611295
274	0.06706224604
275	0.06698672367
276	0.06690238656
277	0.06681261362
278	0.06672124635
279	0.06664600983
280	0.06654091451
281	0.06647046859
282	0.06644084928
283	0.06639211575
284	0.06631542589
285	0.06623022718
286	0.06614599986
287	0.06609320009
288	0.06605104156
289	0.06595307989
290	0.06588411557
291	0.06581846632
292	0.06568739286
293	0.06557896785
294	0.06549401646
295	0.06542129306
296	0.06534378132
297	0.06525221747
298	0.06514969031
299	0.06503422537
300	0.06495784856
301	0.06489404692
302	0.06482114805
303	0.06473711861
304	0.06464832785
305	0.06456977197
306	0.06446950341
307	0.06438265807
308	0.06432155831
309	0.06427116977
310	0.06419231068
311	0.06411953325
312	0.064042974
313	0.06400705025
314	0.0639265365
315	0.06384333589
316	0.06378318815
317	0.06370889205
318	0.06362767935
319	0.06355063226
320	0.0634582431
321	0.06339652236
322	0.06332935231
323	0.06324812801
324	0.06316841298
325	0.06309875006
326	0.0630436109
327	0.06296754451
328	0.06288425011
329	0.06283959623
330	0.06278429106
331	0.06272953638
332	0.0626499397
333	0.0625618367
334	0.06248821536
335	0.06236852472
336	0.0623181788
337	0.06225100942
338	0.06216528303
339	0.06207183781
340	0.06199088562
341	0.0619219318
342	0.06184972135
343	0.06178623891
344	0.06174585252
345	0.0616752566
346	0.06158482099
347	0.06153537932
348	0.06149301704
349	0.06140243403
350	0.06135000297
351	0.0612674853
352	0.06120818805
353	0.06113391154
354	0.06106990909
355	0.06098375208
356	0.06092884376
357	0.06086085218
358	0.06081689449
359	0.06076055741
360	0.06069778498
361	0.06066204068
362	0.06062068755
363	0.06054419923
364	0.06047483438
365	0.06039800272
366	0.06032966381
367	0.06026306734
368	0.06017326311
369	0.06010292915
370	0.06001884322
371	0.05997235838
372	0.05989172809
373	0.05984161656
374	0.05979069059
375	0.0597566187
376	0.05970441636
377	0.0595958365
378	0.05956361596
379	0.05952711527
380	0.0594306738
381	0.05937952817
382	0.05933358678
383	0.05923981753
384	0.05919725553
385	0.05913457905
386	0.05906327587
387	0.05899768403
388	0.05895516702
389	0.0588992458
390	0.0588508152
391	0.05879784828
392	0.0587599973
393	0.05869676532
394	0.05864638243
395	0.05858941423
396	0.05851227823
397	0.05843447541
398	0.05839079517
399	0.05832187301
400	0.05825507837
401	0.05821941079
402	0.05817068522
403	0.05811076039
404	0.05807228761
405	0.05801945566
406	0.05794622982
407	0.05790080027
408	0.05782144432
